"Privacy Settings","Impostazioni Privacy"
"Information","Informazioni"
"Export your personal data","Esporta i tuoi dati"
"Export my data","Esporta i miei dati"
"Account deletion","Cancellazione account"
"Attention!","Attenzione!"
"Your account will be deleted soon. You can undo this action.","Il tuo account sarà cancellato. Puoi annullare questa azione."
"Undo deletion","Annulla cancellazione"
"Delete my account","Cancella il mio account"
"Delete Account","Cancella account"
"Password","Password"
"Reason","Motivo della cancellazione"
"Cookie Policy","Informativa sulla privacy"
"Click here to learn about cookies","Clicca qui per maggiori informazioni sulla privacy"
"Agree","Accetto"
"Account deletion has been canceled.","La cancellazione dell'account è stata annullata"
"Something went wrong, please try again later!","Si è verificato un errore. Si prega di riprovare più tardi."
"Data exported successfully.","Le informazioni sono state esportate con successo."
